date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-21,California,State,Delta,1.0,1.14,0.71428571428,0.127779197547
2021-01-21,California,State,Total,88.0,100.0,559.0,100.0
2021-01-21,California,State,Omicron,0.0,0.0,0.14285714285,0.025555839509
2021-01-21,California,State,Other,17.0,19.32,229.85714285714,41.119345770509
2021-01-21,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-21,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-21,California,State,Gamma,0.0,0.0,0.28571428571,0.051111679019
2021-01-21,California,State,Epsilon,43.0,48.86,313.42857142857,56.069511883465
2021-01-22,California,State,Other,12.0,25.53,197.57142857142,40.772405660377
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Alpha,7.0,14.89,14.42857142857,2.977594339623
2021-01-22,California,State,Delta,1.0,2.13,0.57142857142,0.117924528302
2021-01-22,California,State,Omicron,0.0,0.0,0.14285714285,0.029481132075
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.058962264151
2021-01-22,California,State,Epsilon,27.0,57.45,271.57142857142,56.043632075472
2021-01-22,California,State,Total,47.0,100.0,484.57142857142,100.0
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Other,4.0,16.0,151.14285714285,39.433469996273
2021-01-23,California,State,Delta,0.0,0.0,0.57142857142,0.149086843086
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074543421543
2021-01-23,California,State,Alpha,11.0,44.0,13.57142857142,3.540812523295
2021-01-23,California,State,Omicron,0.0,0.0,0.14285714285,0.037271710772
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Epsilon,10.0,40.0,217.57142857142,56.764815505032
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Total,25.0,100.0,383.28571428571,100.0
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.099378881988
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Omicron,0.0,0.0,0.14285714285,0.041407867495
2021-01-24,California,State,Delta,0.0,0.0,0.57142857142,0.165631469979
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.041407867495
2021-01-24,California,State,Other,4.0,8.7,133.42857142857,38.674948240166
2021-01-24,California,State,Epsilon,35.0,76.09,196.57142857142,56.977225672878
2021-01-24,California,State,Total,46.0,100.0,345.0,100.0
2021-01-25,California,State,Alpha,4.0,4.76,12.85714285714,5.13698630137
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-25,California,State,Omicron,0.0,0.0,0.14285714285,0.057077625571
2021-01-25,California,State,Epsilon,48.0,57.14,142.0,56.735159817352
2021-01-25,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-25,California,State,Other,32.0,38.1,94.71428571428,37.842465753425
2021-01-25,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-25,California,State,Total,84.0,100.0,250.28571428571,100.0
2021-01-25,California,State,Delta,0.0,0.0,0.42857142857,0.171232876712
2021-01-25,California,State,Gamma,0.0,0.0,0.14285714285,0.057077625571
2021-01-26,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-26,California,State,Total,574.0,100.0,159.14285714285,100.0
2021-01-26,California,State,Other,217.0,37.8,52.0,32.675044883303
2021-01-26,California,State,Alpha,9.0,1.57,11.42857142857,7.181328545781
2021-01-26,California,State,Delta,1.0,0.17,0.42857142857,0.269299820467
2021-01-26,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-26,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-26,California,State,Epsilon,347.0,60.45,95.14285714285,59.784560143627
2021-01-26,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-26,California,State,Gamma,0.0,0.0,0.14285714285,0.089766606822
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.255427841635
2021-01-27,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-27,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,702.0,100.0,223.71428571428,100.0
2021-01-27,California,State,Alpha,12.0,1.71,11.0,4.916985951469
2021-01-27,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-27,California,State,Epsilon,459.0,65.38,138.42857142857,61.877394636015
2021-01-27,California,State,Other,230.0,32.76,73.71428571428,32.950191570881
2021-01-27,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085287846482
2021-01-28,California,State,Epsilon,530.0,61.13,208.0,62.089552238806
2021-01-28,California,State,Other,305.0,35.18,114.85714285714,34.285714285714
2021-01-28,California,State,Alpha,26.0,3.0,10.85714285714,3.240938166311
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127931769723
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Delta,1.0,0.12,0.57142857142,0.170575692964
2021-01-28,California,State,Total,867.0,100.0,335.0,100.0
2021-01-29,California,State,Delta,1.0,0.47,0.57142857142,0.159426066162
2021-01-29,California,State,Alpha,10.0,4.74,11.28571428571,3.148664806696
2021-01-29,California,State,Epsilon,145.0,68.72,224.85714285714,62.734157034675
2021-01-29,California,State,Other,53.0,25.12,120.71428571428,33.678756476684
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079713033081
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199282582702
2021-01-29,California,State,Total,211.0,100.0,358.42857142857,100.0
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Delta,0.0,0.0,0.57142857142,0.154320987654
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Alpha,2.0,1.85,10.0,2.700617283951
2021-01-30,California,State,Other,27.0,25.0,124.0,33.487654320988
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.192901234568
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.077160493827
2021-01-30,California,State,Epsilon,79.0,73.15,234.71428571428,63.387345679012
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Total,108.0,100.0,370.28571428571,100.0
2021-01-31,California,State,Other,82.0,34.45,135.14285714285,33.979885057471
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Total,238.0,100.0,397.71428571428,100.0
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179597701149
2021-01-31,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-31,California,State,Alpha,2.0,0.84,9.28571428571,2.334770114943
2021-01-31,California,State,Epsilon,154.0,64.71,251.71428571428,63.290229885057
2021-01-31,California,State,Beta,0.0,0.0,0.28571428571,0.07183908046
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Delta,0.0,0.0,0.57142857142,0.14367816092
2021-02-01,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-01,California,State,Alpha,10.0,1.27,10.14285714285,2.036718301779
2021-02-01,California,State,Other,222.0,28.24,162.28571428571,32.587492828457
2021-02-01,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-01,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-01,California,State,Gamma,0.0,0.0,0.71428571428,0.143430866322
2021-02-01,California,State,Epsilon,554.0,70.48,324.0,65.060240963855
2021-02-01,California,State,Total,786.0,100.0,498.0,100.0
2021-02-01,California,State,Beta,0.0,0.0,0.28571428571,0.057372346529
2021-02-01,California,State,Delta,0.0,0.0,0.57142857142,0.114744693058
2021-02-02,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-02,California,State,Epsilon,966.0,74.94,412.42857142857,68.721732920733
2021-02-02,California,State,Beta,0.0,0.0,0.28571428571,0.047607712449
2021-02-02,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-02,California,State,Alpha,33.0,2.56,13.57142857142,2.261366341347
2021-02-02,California,State,Total,1289.0,100.0,600.14285714285,100.0
2021-02-02,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-02,California,State,Other,290.0,22.5,172.71428571428,28.778862175672
2021-02-02,California,State,Delta,0.0,0.0,0.42857142857,0.071411568674
2021-02-02,California,State,Gamma,0.0,0.0,0.71428571428,0.119019281124
2021-02-03,California,State,Alpha,29.0,2.68,16.0,2.443814095571
2021-02-03,California,State,Epsilon,806.0,74.35,462.0,70.565132009601
2021-02-03,California,State,Delta,0.0,0.0,0.28571428571,0.043639537421
2021-02-03,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Total,1084.0,100.0,654.71428571428,100.0
2021-02-03,California,State,Other,248.0,22.88,175.28571428571,26.772856207724
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.109098843552
2021-02-03,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-03,California,State,Beta,1.0,0.09,0.42857142857,0.065459306131
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023775558726
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023775558726
2021-02-04,California,State,Alpha,15.0,3.06,14.42857142857,2.401331431289
2021-02-04,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-04,California,State,Other,95.0,19.39,145.28571428571,24.179743223966
2021-02-04,California,State,Epsilon,380.0,77.55,440.57142857142,73.323823109843
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.047551117451
2021-02-04,California,State,Total,490.0,100.0,600.85714285714,100.0
2021-02-05,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-05,California,State,Epsilon,158.0,64.75,442.42857142857,73.059683887709
2021-02-05,California,State,Total,244.0,100.0,605.57142857142,100.0
2021-02-05,California,State,Alpha,23.0,9.43,16.28571428571,2.689313517339
2021-02-05,California,State,Other,63.0,25.82,146.71428571428,24.227412125501
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.02359046945
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Other,97.0,26.15,156.71428571428,24.366948023101
2021-02-06,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-06,California,State,Epsilon,259.0,69.81,468.14285714285,72.78987116837
2021-02-06,California,State,Total,371.0,100.0,643.14285714285,100.0
2021-02-06,California,State,Alpha,15.0,4.04,18.14285714285,2.820968458463
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.022212350067
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Epsilon,170.0,77.98,470.42857142857,73.47166443552
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.022311468095
2021-02-07,California,State,Other,44.0,20.18,151.28571428571,23.627844712182
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Total,218.0,100.0,640.28571428571,100.0
2021-02-07,California,State,Alpha,4.0,1.83,18.42857142857,2.878179384203
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Epsilon,366.0,74.09,443.57142857142,74.105011933174
2021-02-08,California,State,Beta,0.0,0.0,0.14285714285,0.023866348449
2021-02-08,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-08,California,State,Alpha,18.0,3.64,19.57142857142,3.26968973747
2021-02-08,California,State,Total,494.0,100.0,598.57142857142,100.0
2021-02-08,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-08,California,State,Other,110.0,22.27,135.28571428571,22.601431980907
2021-02-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-08,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Alpha,22.0,3.45,18.0,3.561334087055
2021-02-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-09,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-09,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-09,California,State,Epsilon,468.0,73.47,372.42857142857,73.685698134539
2021-02-09,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-09,California,State,Beta,0.0,0.0,0.14285714285,0.028264556246
2021-02-09,California,State,Total,637.0,100.0,505.42857142857,100.0
2021-02-09,California,State,Other,147.0,23.08,114.85714285714,22.724703222159
2021-02-10,California,State,Total,545.0,100.0,428.42857142857,100.0
2021-02-10,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-10,California,State,Epsilon,364.0,66.79,309.28571428571,72.190730243414
2021-02-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-10,California,State,Other,160.0,29.36,102.28571428571,23.874624874958
2021-02-10,California,State,Alpha,21.0,3.85,16.85714285714,3.934644881627
2021-02-10,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-02-11,California,State,Epsilon,358.0,70.89,306.14285714285,71.101526211015
2021-02-11,California,State,Beta,0.0,0.0,0.0,0.0
